id,function_name,call_data_time,execution_time,username_clicker
307,load_data,Mon Apr 29 12:56:10 2024,0.0029799938201904297,a.ax
308,show_user,Mon Apr 29 12:56:10 2024,0.007970333099365234,a.ax
309,back_to_home_page_button_clicked,Mon Apr 29 12:56:13 2024,0.0010001659393310547,a.ax
310,logout_button_clicked,Mon Apr 29 12:56:15 2024,0.0009980201721191406,a.ax
311,set_current_user,Mon Apr 29 12:56:26 2024,0.0,j.mo
312,login_button_clicked,Mon Apr 29 12:56:26 2024,0.013939619064331055,j.mo
313,load_data,Mon Apr 29 12:56:26 2024,0.0019943714141845703,j.mo
314,show_user,Mon Apr 29 12:56:26 2024,0.0075511932373046875,j.mo
315,set_current_user,Mon Apr 29 12:57:35 2024,0.000997304916381836,a.ri
316,login_button_clicked,Mon Apr 29 12:57:35 2024,0.010975360870361328,a.ri
317,load_data,Mon Apr 29 12:57:36 2024,0.001995086669921875,a.ri
318,show_user,Mon Apr 29 12:57:36 2024,0.007044553756713867,a.ri
319,back_to_home_page_button_clicked,Mon Apr 29 12:57:52 2024,0.0,a.ri
320,logout_button_clicked,Mon Apr 29 12:57:54 2024,0.0009958744049072266,a.ri
321,set_current_user,Mon Apr 29 12:57:59 2024,0.0009975433349609375,a.ax
322,login_button_clicked,Mon Apr 29 12:57:59 2024,0.010955572128295898,a.ax
323,load_data,Mon Apr 29 12:57:59 2024,0.0009982585906982422,a.ax
324,show_user,Mon Apr 29 12:57:59 2024,0.007979393005371094,a.ax
325,back_to_home_page_button_clicked,Mon Apr 29 12:58:00 2024,0.0,a.ax
326,set_current_user,Mon Apr 29 12:58:54 2024,0.000997304916381836,j.mo
327,login_button_clicked,Mon Apr 29 12:58:54 2024,0.011968374252319336,j.mo
328,load_data,Mon Apr 29 12:58:55 2024,0.0009789466857910156,j.mo
329,show_user,Mon Apr 29 12:58:55 2024,0.006001472473144531,j.mo
330,back_to_home_page_button_clicked,Mon Apr 29 12:58:57 2024,0.000997304916381836,j.mo
331,logout_button_clicked,Mon Apr 29 12:58:58 2024,0.0009975433349609375,j.mo
332,set_current_user,Mon Apr 29 12:59:02 2024,0.000997781753540039,a.ri
333,login_button_clicked,Mon Apr 29 12:59:02 2024,0.010970592498779297,a.ri
334,load_data,Mon Apr 29 12:59:03 2024,0.0029838085174560547,a.ri
335,show_user,Mon Apr 29 12:59:03 2024,0.007987260818481445,a.ri
336,back_to_home_page_button_clicked,Mon Apr 29 12:59:04 2024,0.0,a.ri
337,logout_button_clicked,Mon Apr 29 12:59:05 2024,0.0,a.ri
338,set_current_user,Mon Apr 29 12:59:09 2024,0.0009975433349609375,j.mo
339,login_button_clicked,Mon Apr 29 12:59:09 2024,0.011967658996582031,j.mo
340,load_data,Mon Apr 29 12:59:10 2024,0.001994609832763672,j.mo
341,show_user,Mon Apr 29 12:59:10 2024,0.00797724723815918,j.mo
342,back_to_home_page_button_clicked,Mon Apr 29 12:59:11 2024,0.001001119613647461,j.mo
343,logout_button_clicked,Mon Apr 29 12:59:12 2024,0.0009975433349609375,j.mo
344,set_current_user,Mon Apr 29 12:59:17 2024,0.0,a.ax
345,login_button_clicked,Mon Apr 29 12:59:17 2024,0.010969161987304688,a.ax
346,load_data,Mon Apr 29 12:59:19 2024,0.001979351043701172,a.ax
347,show_user,Mon Apr 29 12:59:19 2024,0.0069658756256103516,a.ax
348,back_to_home_page_button_clicked,Mon Apr 29 12:59:20 2024,0.0,a.ax
349,logout_button_clicked,Mon Apr 29 12:59:21 2024,0.0,a.ax
350,set_current_user,Mon Apr 29 12:59:25 2024,0.0,j.mo
351,login_button_clicked,Mon Apr 29 12:59:25 2024,0.010970830917358398,j.mo
352,load_data,Mon Apr 29 12:59:25 2024,0.001995563507080078,j.mo
353,show_user,Mon Apr 29 12:59:25 2024,0.007950067520141602,j.mo
354,set_current_user,Mon Apr 29 13:30:48 2024,0.0009970664978027344,a.ri
355,login_button_clicked,Mon Apr 29 13:30:48 2024,0.011967897415161133,a.ri
356,load_data,Mon Apr 29 13:30:50 2024,0.002991914749145508,a.ri
357,show_user,Mon Apr 29 13:30:50 2024,0.009972810745239258,a.ri
358,back_to_home_page_button_clicked,Mon Apr 29 13:30:55 2024,0.0,a.ri
359,logout_button_clicked,Mon Apr 29 13:30:58 2024,0.0009968280792236328,a.ri
360,set_current_user,Mon Apr 29 13:31:19 2024,0.0009965896606445312,a.ri
361,login_button_clicked,Mon Apr 29 13:31:19 2024,0.011967658996582031,a.ri
362,load_data,Mon Apr 29 13:31:21 2024,0.0029914379119873047,a.ri
363,show_user,Mon Apr 29 13:31:21 2024,0.00897526741027832,a.ri
364,back_to_home_page_button_clicked,Mon Apr 29 13:31:29 2024,0.0009963512420654297,a.ri
365,edit_information_button_clicked,Mon Apr 29 13:31:30 2024,0.0009930133819580078,a.ri
366,back_to_home_page_button_clicked,Mon Apr 29 13:31:32 2024,0.0009970664978027344,a.ri
367,set_current_user_for_profile_frame,Mon Apr 29 13:31:33 2024,0.0009970664978027344,a.ri
368,profile_button_clicked,Mon Apr 29 13:31:33 2024,0.00698089599609375,a.ri
369,edit_information_button_clicked,Mon Apr 29 13:31:43 2024,0.0009958744049072266,a.ri
370,back_to_home_page_button_clicked,Mon Apr 29 13:31:45 2024,0.0009965896606445312,a.ri
371,log_button_clicked,Mon Apr 29 13:31:46 2024,0.005985736846923828,a.ri
372,set_current_user,Mon Apr 29 13:39:21 2024,0.0,a.ri
373,login_button_clicked,Mon Apr 29 13:39:21 2024,0.014958858489990234,a.ri
374,load_data,Mon Apr 29 13:39:33 2024,0.0019941329956054688,a.ri
375,show_user,Mon Apr 29 13:39:33 2024,0.008981704711914062,a.ri
376,set_current_user,Mon Apr 29 13:44:26 2024,0.001996278762817383,a.ri
377,login_button_clicked,Mon Apr 29 13:44:26 2024,0.014960050582885742,a.ri
378,load_data,Mon Apr 29 13:44:26 2024,0.0029916763305664062,a.ri
379,show_user,Mon Apr 29 13:44:26 2024,0.007978439331054688,a.ri
380,back_to_home_page_button_clicked,Mon Apr 29 13:44:30 2024,0.0,a.ri
381,log_button_clicked,Mon Apr 29 13:44:31 2024,0.003988981246948242,a.ri
382,back_to_home_page_button_clicked,Mon Apr 29 13:44:35 2024,0.0009915828704833984,a.ri
383,set_current_user_for_profile_frame,Mon Apr 29 13:44:37 2024,0.0009975433349609375,a.ri
384,profile_button_clicked,Mon Apr 29 13:44:37 2024,0.007979869842529297,a.ri
385,back_to_home_page_button_clicked,Mon Apr 29 13:44:38 2024,0.0,a.ri
386,edit_information_button_clicked,Mon Apr 29 13:44:38 2024,0.0,a.ri
387,back_to_home_page_button_clicked,Mon Apr 29 13:44:39 2024,0.0007486343383789062,a.ri
388,logout_button_clicked,Mon Apr 29 13:44:40 2024,0.0,a.ri
389,set_current_user,Mon Apr 29 14:01:19 2024,0.0009970664978027344,a.ri
390,login_button_clicked,Mon Apr 29 14:01:19 2024,0.010970830917358398,a.ri
391,load_data,Mon Apr 29 14:01:19 2024,0.002992391586303711,a.ri
392,show_user,Mon Apr 29 14:01:19 2024,0.005984306335449219,a.ri
393,set_current_user,Mon Apr 29 14:02:07 2024,0.0009980201721191406,a.ri
394,login_button_clicked,Mon Apr 29 14:02:07 2024,0.011969566345214844,a.ri
395,load_data,Mon Apr 29 14:02:08 2024,0.0029914379119873047,a.ri
396,show_user,Mon Apr 29 14:02:08 2024,0.008976459503173828,a.ri
397,set_current_user,Mon Apr 29 14:03:07 2024,0.0009970664978027344,a.ri
398,login_button_clicked,Mon Apr 29 14:03:07 2024,0.011968612670898438,a.ri
399,load_data,Mon Apr 29 14:03:07 2024,0.003989696502685547,a.ri
400,show_user,Mon Apr 29 14:03:07 2024,0.008976221084594727,a.ri
401,set_current_user,Mon Apr 29 14:05:07 2024,0.0,a.ri
402,login_button_clicked,Mon Apr 29 14:05:07 2024,0.013967037200927734,a.ri
403,load_data,Mon Apr 29 14:05:15 2024,0.0029921531677246094,a.ri
404,show_user,Mon Apr 29 14:05:15 2024,0.008972644805908203,a.ri
405,load_data,Mon Apr 29 14:05:31 2024,0.001990079879760742,a.ri
406,sort_button_clicked,Mon Apr 29 14:05:31 2024,0.006975650787353516,a.ri
407,load_data,Mon Apr 29 14:05:33 2024,0.000997304916381836,a.ri
408,sort_button_clicked,Mon Apr 29 14:05:33 2024,0.006981611251831055,a.ri
